"Dato (Date)","Dokumenttitel (Title of the document)"
2005-01-11,"Bekendtgørelse om kvalitetsudvikling og resultatvurdering inden for de gymnasiale uddannelser"
2005-04-04,"Cirkulære om vederlag til medlemmer af Undervisningsministeriets opgavekommissioner for læreruddannelsen "
2005-04-12,"Bekendtgørelse om merit i de gymnasiale uddannelser (Meritbekendtgørelsen)"
2005-05-11,"Bekendtgørelse om undervisningskompetence i de almene gymnasiale uddannelser "
2005-05-18,"Lov om ændring af lov om friskoler og private grundskoler m.v. - 18. december 2005"
2005-05-19,"Bekendtgørelse om karakterskala og anden bedømmelse "
2005-05-19,"Bekendtgørelse om prøver og eksamen i folkeskolen og i de almene og studieforberedende ungdoms- og voksenuddannelser "
2005-05-19,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen "
2005-05-19,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger"
2005-05-26,"Bekendtgørelse af lov om folkeskolen"
2005-06-10,"Bekendtgørelse om gymnasial supplering"
2005-06-24,"Lov om ændring af lov om folkeskolen - 24. juni 2005"
2005-06-24,"Lov om ændring af lov om folkeskolen, lov om specialundervisning for voksne, lov om forberedende voksenundervisning (FVU-loven) og forskellige andre love"
2005-06-24,"Lov om ændring af lov om institutioner for uddannelsen til studentereksamen, lov om institutioner for uddannelsen til højere forberedelseseksamen, lov om grundlæggende social- og sundhedsuddannelser, lov om almen voksenuddannelse og om voksenuddannelse"
2005-06-27,"Bekendtgørelse af lov om friskoler og private grundskoler m.v - 27. juni 2005"
2005-06-29,"Bekendtgørelse om betaling ved skolegang i en anden kommune end bopælskommunen "
2005-06-30,"Bekendtgørelse om ændring af bekendtgørelse om prøver og eksamen i folkeskolen og i de almene og studieforberedende ungdoms- og voksenuddannelser "
2005-07-04,"Bekendtgørelse om deltagerbetaling ved almen voksenuddannelse, hf-enkeltfagsundervisning, enkeltfagsstudentereksamen og for hf-selvstuderende "
2005-08-29,"Bekendtgørelse om begyndelsestidspunkt for elevernes sommerferie i folkeskolen samt om prøveterminer/-datoer i skoleårene 2005/06 og 2006/07 "
2005-09-08,"Bekendtgørelse om tilskud m.v. til friskoler og private grundskoler m.v. "
2005-09-26,"Bekendtgørelse om valg af forældrerepræsentanter til skolebestyrelser i folkeskolen og om vederlag til forældre- og elevrepræsentanter i skolebestyrelser i folkeskolen "
2005-10-27,"Bekendtgørelse af lov om institutioner for uddannelsen til højere forberedelseseksamen "
2005-10-27,"Bekendtgørelse af lov om institutioner for uddannelsen til studentereksamen"
2005-11-11,"Vejledning om skolebestyrelsesvalg "
2005-11-21,"Vejledning om udarbejdelse af del- og slutmål samt undervisningsplaner for friskoler og private grundskoler "
2005-11-23,"Vejledning om fravigelse af bestemmelserne ved folkeskolens afsluttende prøver "
2005-11-29,"Bekendtgørelse om ændring af bekendtgørelse om optagelse i de gymnasiale uddannelser "
2005-11-29,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen "
2005-12-14,"Bekendtgørelse om ændring af bekendtgørelse om tilskud til indkøb af computerudstyr til elever på 3. klassetrin i frie grundskoler "
2005-12-15,"Bekendtgørelse om folkeskolens undervisning i tegnsprog "
2005-12-15,"Bekendtgørelse om støtte til fagpakke hhx og gymnasiale indslusningsforløb for flygtninge og indvandrere (GIF)"
2005-12-21,"Lov om ændring af lov om friskoler og private grundskoler m.v. - 21. december 2005"
2005-12-21,"Lov om ændring af lov om friskoler og private grundskoler m.v. - 21. december 2005"
2006-01-20,"Bekendtgørelse om folkeskolens undervisning i dansk som andetsprog "
2006-02-27,"Lov om ophævelse af lov om en statsskole som forsøgscenter for 8.-10. skoleår "
2006-04-18,"Bekendtgørelse om ændring af bekendtgørelse om hf-uddannelsen tilrettelagt som enkeltfagsundervisning for voksne (hf-enkeltfagsbekendtgørelsen) "
2006-04-18,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til 2-årigt hf "
2006-04-18,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen) "
2006-04-18,"Bekendtgørelse om ændring af bekendtgørelse om valgfag fælles for de gymnasiale uddannelser "
2006-04-19,"Lov om uddannelsen til professionsbachelor som pædagog"
2006-04-19,"Lov om ændring af lov om folkeskolen - 19. april 2006"
2006-04-20,"Bekendtgørelse om ændring af bekendtgørelse om formål, trin- og slutmål for folke skolens fag og emner samt om folkeskolens afsluttende prøver (Fælles Mål mv.) "
2006-04-24,"Bekendtgørelse om hvilken kommune udgiften til folkeskolens undervisning m.v. endeligt påhviler"
2006-05-04,"Bekendtgørelse om ændring af bekendtgørelse om undervisningstimetal i folkeskolen "
2006-06-07,"Bekendtgørelse om projektopgaven i folkeskolens 9. klasse"
2006-06-09,"Lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v."
2006-06-09,"Lov om uddannelsen til professionsbachelor som lærer i folkeskolen"
2006-06-09,"Lov om ændring af lov om folkeskolen - 9. juni 2006"
2006-06-09,"Lov om ændring af lov om friskoler og private grundskoler m.v. og andre love på Undervisningsministeriets område"
2006-06-09,"Lov om ændring af lov om uddannelsen til studentereksamen (stx) (gymnasieloven) og lov om uddannelserne til højere handelseksamen (hhx) og højere teknisk eksamen (htx) (Ændring af grundforløbet i de 3-årige uddannelser)"
2006-06-23,"Bekendtgørelse om elevplaner i folkeskolen"
2006-06-23,"Skrivelse om udstedelse af bekendtgørelse om elevplaner i folkeskolen "
2006-06-30,"Bekendtgørelse om ændring af bekendtgørelse om prøver og eksamen i folkeskolen og i de almene og studieforberedende ungdoms- og voksenuddannelser "
2006-07-05,"Bekendtgørelse om ændring af bekendtgørelse om elevers fravær fra undervisningen i folkeskolen "
2006-07-06,"Bekendtgørelse om ændring af bekendtgørelse om gymnasial supplering "
2006-07-11,"Bekendtgørelse af lov om almen voksenuddannelse (avu-loven)"
2006-07-11,"Bekendtgørelse om ændring af bekendtgørelse om valgfag fælles for de gymnasiale uddannelser "
2006-07-12,"Bekendtgørelse om ændring af bekendtgørelse om hf-uddannelsen tilrettelagt som enkeltfagsundervisning for voksne"
2006-07-12,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til 2-årigt hf "
2006-07-17,"Bekendtgørelse om uddannelsen til studentereksamen "
2006-10-23,"Bekendtgørelse om ikrafttræden af visse bestemmelser i lov om ændring af lov om folkeskolen "
2006-10-24,"Bekendtgørelse om anvendelse af test i folkeskolen mv."
2006-11-15,"Bekendtgørelse om undervisningstimetal i folkeskolen for skoleårene 2006/07-2010/11 samt efterfølgende skoleår "
2006-11-30,"Bekendtgørelse af lov om folkeskolen - 30. november 2006"
2006-12-04,"Bekendtgørelse om studie- og ordensregler i de gymnasiale uddannelser "
2006-12-08,"Bekendtgørelse om optagelse i de gymnasiale uddannelser"
2006-12-08,"Bekendtgørelse om uddannelsen til studentereksamen "
2006-12-13,"Bekendtgørelse om uddannelsen til 2-årigt hf (hf-bekendtgørelsen) "
2006-12-13,"Bekendtgørelse om undervisningskompetence i de gymnasiale uddannelser (pædagogikumbekendtgørelsen)"
2006-12-14,"Bekendtgørelse om tilskud til gymnasial undervisning til internationale eksaminer i udlandet "
2006-12-20,"Bekendtgørelse om elevers og kursisters betaling for undervisningsmidler i de gymnasiale uddannelser og erhvervsuddannelserne "
2007-02-21,"Bekendtgørelse om uddannelsen til 2-årigt hf (hf-bekendtgørelsen) - 21. februar 2007"
2007-02-22,"Bekendtgørelse om anvendelse af kvalitetsrapporter og handlingsplaner i kommunalbestyrelsernes arbejde med evaluering og kvalitetsudvikling af folkeskolen"
2007-03-01,"Bekendtgørelse om valgfag fælles for de gymnasiale uddannelser "
2007-03-12,"Bekendtgørelse om uddannelsen til professionsbachelor som lærer i folkeskolen"
2007-03-13,"Bekendtgørelse om uddannelsen til professionsbachelor som pædagog"
2007-03-20,"Bekendtgørelse om karakterskala og anden bedømmelse "
2007-04-02,"Bekendtgørelse om begyndelsestidspunkt for elevernes sommerferie i folkeskolen samt om prøveterminer/-datoer i skoleårene 2006/07 og 2007/08"
2007-05-08,"Bekendtgørelse af lov om uddannelsen til højere forberedelseseksamen (hf-loven)"
2007-05-08,"Bekendtgørelse af lov om uddannelsen til studentereksamen (stx) (gymnasieloven)"
2007-06-06,"Lov om professionshøjskoler for videregående uddannelser"
2007-06-06,"Lov om ændring af forskellige love på Undervisningsministeriets område"
2007-06-06,"Lov om ændring af lov om folkeskolen og forskellige andre love"
2007-06-06,"Lov om ændring af lov om folkeskolen og forskellige andre love "
2007-06-06,"Lov om ændring af lov om friskoler og private grundskoler m.v. "
2007-06-25,"Bekendtgørelse om prøver og eksamen i de almene og studieforberedende ungdoms- og voksenuddannelser"
2007-06-27,"Bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2007-06-28,"Bekendtgørelse om valgfag fælles for de gymnasiale uddannelser (valgfagsbekendtgørelsen)"
2007-06-29,"Bekendtgørelse om uddannelsen til 2-årigt hf (hf-bekendtgørelsen) - 29. juni 2007 "
2007-07-08,"Bekendtgørelse af lov om friskoler og private grundskoler m.v."
2007-07-09,"Bekendtgørelse om ændring af bekendtgørelse om gymnasial supplering "
2007-07-09,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til professionsbachelor som lærer i folkeskolen"
2007-07-13,"Bekendtgørelse om ændring af bekendtgørelse om formål, trin- og slutmål for folkeskolens fag og emner samt om folkeskolens afsluttende prøver (Fælles Mål mv.) "
2007-07-20,"Bekendtgørelse af lov om almen voksenuddannelse"
2007-08-13,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen) "
2007-08-23,"Bekendtgørelse om ændring af bekendtgørelse om hf-uddannelsen tilrettelagt som enkeltfagsundervisning for voksne (hf-enkeltfagsbekendtgørelsen) "
2007-08-28,"Bekendtgørelse af lov om folkeskolen - 28. august 2007"
2007-09-20,"Vejledning om undervisningstimetal i folkeskolen"
2007-12-11,"Bekendtgørelse om merit i de gymnasiale uddannelser (meritbekendtgørelsen)"
2007-12-12,"Bekendtgørelse om gymnasial supplering (GS-bekendtgørelsen)"
2008-01-11,"Bekendtgørelse om procedure for ansøgning til og koordinering af uddannelsesinstitutionernes optagelse af ansøgere til ungdomsuddannelser og videregående uddannelser, procedure om tilmelding til 10. klasse"
2008-01-15,"Vejledning til skolerne om annoncering af grundforløbspakker"
2008-01-29,"Bekendtgørelse om optagelse i de gymnasiale uddannelser (Optagelsesbekendtgørelsen)"
2008-02-01,"Bekendtgørelse om ændring af bekendtgørelse om anvendelse af test i folkeskolen mv."
2008-02-04,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2008-02-05,"Bekendtgørelse om ændring af bekendtgørelse om valgfag fælles for de gymnasiale uddannelser (valgfagsbekendtgørelsen)"
2008-02-11,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til 2-årigt hf (hf-bekendtgørelsen)"
2008-03-31,"Lov om erhvervsakademiuddannelser og professionsbacheloruddannelser"
2008-04-30,"Lov om almen voksenuddannelse og om anerkendelse af realkompetence i forhold til fag i almen voksenuddannelse, i hf-uddannelsen og i uddannelsen til studentereksamen (avu-loven)"
2008-05-13,"Vejledning om folkeskolens specialpædagogiske bistand til børn, der endnu ikke har påbegyndt skolegangen"
2008-05-26,"Lov om ændring af lov om folkeskolen"
2008-06-02,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til professionsbachelor som lærer i folkeskolen"
2008-06-17,"Lov om pædagogikum i de gymnasiale uddannelser"
2008-06-17,"Lov om pædagogikum i de gymnasiale uddannelser"
2008-06-17,"Lov om ændring af lov om friskoler og private grundskoler m.v. og forskellige andre love"
2008-06-17,"Lov om ændring af lov om uddannelsen til studentereksamen (stx) (gymnasieloven)"
2008-06-17,"Lov om ændring af lov om ændring af lov om folkeskolen"
2008-06-30,"Bekendtgørelse om tilskud m.v. til folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler)"
2008-06-30,"Bekendtgørelse om tilskud m.v. til friskoler og private grundskoler m.v."
2008-06-30,"Bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2008-07-01,"Bekendtgørelse om uddannelsen til 2-årigt hf (hf-bekendtgørelsen)"
2008-07-01,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens specialundervisning og anden specialpædagogisk bistand"
2008-07-02,"Bekendtgørelse om den obligatoriske selvvalgte opgave i 10. klasse"
2008-07-02,"Bekendtgørelse om valgfag i henhold til folkeskolelovens § 9, stk. 5"
2008-07-02,"Bekendtgørelse om ændring af bekendtgørelse om prøver og eksamen i folkeskolen og i de almene og studieforberedende ungdoms- og voksenuddannelser"
2008-07-04,"Bekendtgørelse om ændring af bekendtgørelse om formål, trin- og slutmål for folkeskolens fag og emner samt om folkeskolens afsluttende prøver (Fælles Mål mv.) "
2008-07-24,"Bekendtgørelse af lov om uddannelsen til studentereksamen (stx) (gymnasieloven)"
2008-09-22,"Bekendtgørelse af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v."
2008-09-22,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens specialpædagogiske bistand til børn, der endnu ikke har påbegyndt skolegangen"
2008-09-26,"Bekendtgørelse af lov om friskoler og private grundskoler m.v."
2008-12-08,"Bekendtgørelse om regnskab for frie grundskoler og private skoler for gymnasiale uddannelser m.v."
2008-12-08,"Bekendtgørelse om revision og tilskudskontrol m.m. ved frie grundskoler og private skoler for gymnasiale uddannelser m.v."
2008-12-27,"Lov om ændring af lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurser) "
2009-01-01,"Fælles Mål 01 - Dansk"
2009-01-01,"Fælles Mål 02 - Engelsk"
2009-01-01,"Fælles Mål 03 - Kristendomskundskab"
2009-01-01,"Fælles Mål 04 - Historie"
2009-01-01,"Fælles Mål 05 - Samfundsfag"
2009-01-01,"Fælles Mål 06 - Idræt"
2009-01-01,"Fælles Mål 07 - Musik"
2009-01-01,"Fælles Mål 08 - Billedkunst"
2009-01-01,"Fælles Mål 09 - Håndarbejde"
2009-01-01,"Fælles Mål 10 - Sløjd"
2009-01-01,"Fælles Mål 11 - Hjemkundskab"
2009-01-01,"Fælles Mål 12 - Matematik"
2009-01-01,"Fælles Mål 13 - Naturteknik"
2009-01-01,"Fælles Mål 14 - Geografi"
2009-01-01,"Fælles Mål 15 - Biologi"
2009-01-01,"Fælles Mål 16 - Fysik/kemi"
2009-01-01,"Fælles Mål 17 - Tysk"
2009-01-01,"Fælles Mål 18 - Fransk"
2009-01-01,"Fælles Mål 19 - Dansk som andetsprog"
2009-01-01,"Fælles Mål 20 - Færdselslære"
2009-01-01,"Fælles Mål 21 - Sundheds- og seksualundervisning og familiekundskab"
2009-01-01,"Fælles Mål 22 - Uddannelses-, erhvervsog arbejdsmarkedsorientering"
2009-01-01,"Fælles Mål 23 - Børnehaveklassen"
2009-01-01,"Fælles Mål 24 - Arbejdskendskab"
2009-01-01,"Fælles Mål 25 - Drama"
2009-01-01,"Fælles Mål 26 - Edb"
2009-01-01,"Fælles Mål 27 - Filmkundskab"
2009-01-01,"Fælles Mål 28 - Fotolære"
2009-01-01,"Fælles Mål 29 - Hverdagsfransk"
2009-01-01,"Fælles Mål 30 - Hverdagstysk"
2009-01-01,"Fælles Mål 31 - Indvandrersprog"
2009-01-01,"Fælles Mål 33 - Motorlære"
2009-01-01,"Fælles Mål 34 - Spansk"
2009-01-01,"Fælles Mål 35 - Teknologi"
2009-01-01,"Fælles Mål 36 - Tekstbehandling"
2009-01-01,"Fælles Mål 37 - Naturfag 10. klasse"
2009-01-01,"Fælles Mål 38 - Metalmotorværksted 10. klasse"
2009-01-01,"Fælles Mål 39 - Byggeværksted 10. klasse"
2009-01-01,"Fælles Mål 40 - Teknologiværksted 10. klasse"
2009-01-01,"Fælles Mål 41 - Serviceværksted 10. klasse"
2009-01-01,"Fælles Mål 42 - Produktudvikling og formgivning 10. klasse"
2009-01-01,"Fælles Mål 43 - Iværksætter 10. klasse"
2009-01-01,"Fælles Mål 44 - Sundhed og sociale forhold 10. klasse"
2009-01-01,"Fælles Mål 45 - Teknologi og kommunikation 10. klasse"
2009-01-01,"Fælles Mål 46 - Modersmålsundervisning"
2009-01-01,"Fælles Mål 47 - Elevernes alsidige udvikling"
2009-01-01,"Fælles Mål 48 - It- og mediekompetencer i folkeskolen"
2009-01-14,"Bekendtgørelse om undervisningskompetence i de gymnasiale uddannelser (pædagogikumbekendtgørelsen)"
2009-01-20,"Bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen"
2009-01-28,"Lov om ændring af lov om folkeskolen"
2009-01-29,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2009-03-19,"Bekendtgørelse om deltagerbetaling ved almen voksenuddannelse og almengymnasiale uddannelser"
2009-03-31,"Bekendtgørelse om undervisning i børnehaveklassen"
2009-04-15,"Lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v. og forskellige andre love"
2009-05-06,"Lov om ændring af lov om folkeskolen (Samordning af elevplan, uddannelsesbog og uddannelsesplan)"
2009-05-06,"Lov om ændring af lov om folkeskolen (Ændring af procedure for henvisning til specialundervisning i enkelte fag)"
2009-05-11,"Bekendtgørelse om uddannelsen til professionsbachelor som lærer i folkeskolen"
2009-06-12,"Lov om ændring af lov om erhvervsakademiuddannelser og professionsbacheloruddannelser og andre love"
2009-06-12,"Lov om ændring af lov om folkeskolen (Præcisering af ansvarsforholdene i folkeskolen m.v.)"
2009-06-12,"Lov om ændring af lov om folkeskolen (Ændring af censorordningen ved skriftlige afgangsprøver i folkeskolen)"
2009-06-24,"Bekendtgørelse af lov om folkeskolen"
2009-06-24,"Bekendtgørelse om standardvedtægt for institutioner for almengymnasiale uddannelser og almen voksenuddannelse"
2009-06-24,"Bekendtgørelse om tilskud til pædagogikum i de gymnasiale uddannelser"
2009-06-24,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens specialundervisning og anden specialpædagogisk bistand"
2009-06-25,"Bekendtgørelse om optagelse i de gymnasiale uddannelser (Optagelsesbekendtgørelsen)"
2009-06-26,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2009-06-26,"Lov om ændring af lov om friskoler og private grundskoler m.v."
2009-06-26,"Lov om ændring af lov om friskoler og private grundskoler m.v. (Optagelse i dagtilbud af børn på mindst 2 år og 6 måneder m.v.)"
2009-06-29,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til 2-årigt hf"
2009-07-09,"Bekendtgørelse om prøver og eksamen i de almene og studieforberedende ungdoms- og voksenuddannelser (Eksamensbekendtgørelsen)"
2009-07-13,"Bekendtgørelse om elevplaner, elev- og uddannelsesplaner samt uddannelsesplaner i folkeskolen"
2009-07-13,"Bekendtgørelse om folkeskolens afsluttende prøver (Prøvebekendtgørelsen)"
2009-07-13,"Bekendtgørelse om formål, trin- og slutmål for folkeskolens fag og emner (Fælles Mål)"
2009-10-26,"Bekendtgørelse om anvendelse af test i folkeskolen mv."
2009-11-17,"Bekendtgørelse om de pædagogiske diplomuddannelser"
2009-12-27,"Lov om ændring af lov om uddannelsen til studentereksamen (stx) (gymnasieloven), lov om uddannelserne til højere handelseksamen (hhx) og højere teknisk eksamen (htx) og lov om uddannelsen til højere forberedelseseksamen (hf-loven)"
2010-01-05,"Bekendtgørelse om ændring af bekendtgørelse om tilskud m.v. til folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler)"
2010-02-09,"Lov om ændring af forskellige love på Undervisningsministeriets område, 9. februar 2010"
2010-03-26,"Bekendtgørelse om fremme af god orden i folkeskolen"
2010-03-29,"Lov om ændring af lov om friskoler og private grundskoler m.v. og lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurser)"
2010-03-29,"Lov om ændring af lov om friskoler og private grundskoler m.v. og lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurser)"
2010-05-11,"Lov om ændring af lov om folkeskolen, 11. maj 2010"
2010-06-09,"Bekendtgørelse om selvevaluering på frie grundskoler"
2010-06-14,"Bekendtgørelse af lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler)"
2010-06-21,"Bekendtgørelse af lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurser)"
2010-06-21,"Bekendtgørelse af lov om vejledning om uddannelse og erhverv samt pligt til uddannelse, beskæftigelse m.v."
2010-06-22,"Bekendtgørelse om uddannelsen til toårigt hf (hf-bekendtgørelsen)"
2010-06-22,"Bekendtgørelse om ændring af bekendtgørelse om undervisningskompetence i de gymnasiale uddannelser "
2010-06-23,"Bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2010-06-23,"Bekendtgørelse om valgfag fælles for de gymnasiale uddannelser (valgfagsbekendtgørelsen)"
2010-06-24,"Bekendtgørelse af lov om friskoler og private grundskoler m.v."
2010-06-25,"Bekendtgørelse om ændring af bekendtgørelse om elevers fravær fra undervisningen i folkeskolen"
2010-07-05,"Bekendtgørelse af lov om uddannelsen til højere forberedelseseksamen, 5. juli 2010"
2010-07-05,"Bekendtgørelse af lov om uddannelsen til studentereksamen, 5. juli 2010"
2010-07-09,"Bekendtgørelse om overenskomst mellem en kommunalbestyrelse og en institution, der udbyder erhvervsuddannelse, om varetagelse af 10. klasseundervisning"
2010-07-12,"Bekendtgørelse om projektopgaven i folkeskolens 9. klasse"
2010-07-13,"Bekendtgørelse om folkeskolens afsluttende prøver, 13. juli 2010"
2010-08-16,"Bekendtgørelse af lov om folkeskolen, 16. august 2010"
2010-09-08,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2010-09-27,"Bekendtgørelse om uddannelsen til professionsbachelor som pædagog, 27. september 2010"
2010-11-08,"Bekendtgørelse om ændring af bekendtgørelse om optagelse i de gymnasiale uddannelser (Optagelsesbekendtgørelsen)"
2010-11-15,"Bekendtgørelse om folkeskolens prøveterminer/-datoer i skoleårene 2010/2011, 2011/2012 og 2012/2013 samt om begyndelsestidspunktet for elevernes sommerferie"
2010-12-10,"Bekendtgørelse om ændring af bekendtgørelse om hf-uddannelsen tilrettelagt som enkeltfagsundervisning for voksne (hf-enkeltfagsbekendtgørelsen)"
2010-12-21,"Lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurser) og lov om åben uddannelse"
2010-12-21,"Lov om ændring af lov om pædagogikum i de gymnasiale uddannelser og lov om folkeskolen"
2011-01-06,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen)"
2011-02-21,"Bekendtgørelse om merit i de gymnasiale uddannelser (meritbekendtgørelsen)"
2011-02-23,"Bekendtgørelse om undervisningskompetence i de gymnasiale uddannelser (pædagogikumbekendtgørelsen)"
2011-03-17,"Bekendtgørelse om ændring af bekendtgørelse om valg og certificering af tilsynsførende ved frie grundskoler m.v."
2011-05-10,"Bekendtgørelse om statslig elevstøtte til elever på efterskoler "
2011-05-26,"Bekendtgørelse om ændring af bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen"
2011-06-22,"Bekendtgørelse af lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler), 22. juni 2011"
2011-08-08,"Bekendtgørelse af lov om centre for undervisningsmidler m.v., 8. august 2011"
2011-08-12,"Bekendtgørelse af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., 12. august 2011"
2011-12-05,"Bekendtgørelse om budget- og bevillingsmæssige forhold ved institutioner for almengymnasiale uddannelser og almen voksenuddannelse og institutioner for erhvervsrettet uddannelse"
2011-12-07,"Bekendtgørelse af lov om friskoler og private grundskoler m.v.  (Friskoleloven)"
2011-12-08,"Bekendtgørelse om folkeskolens prøveterminer og prøvedatoer i skoleårene 2011/2012, 2012/2013 og 2013/2014 samt om begyndelsestidspunktet for elevernes sommerferie"
2011-12-14,"Bekendtgørelse om ændring af bekendtgørelse om prøver og eksamen i de almene og studieforberedende ungdoms- og voksenuddannelser (eksamensbekendtgørelsen)"
2012-02-28,"Bekendtgørelse om optagelse på de gymnasiale uddannelser  (Optagelsesbekendtgørelsen)"
2012-03-27,"Lov om ændring af lov om friskoler og private grundskoler m.v., lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler), lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen"
2012-04-28,"Lov om ændring af lov om folkeskolen, lov om friskoler og private grundskoler m.v. og lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler)"
2012-05-29,"Lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., lov om institutioner for erhvervsrettet uddannelse, lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurse"
2012-06-04,"Lov om ændring af lov om folkeskolen (Godkendelse af specialundervisning i dagbehandlingstilbud og anbringelsessteder m.v.)"
2012-06-04,"Lov om ændring af lov om folkeskolen (Justering af frit skolevalg over kommunegrænser m.v.)"
2012-06-04,"Lov om ændring af lov om folkeskolen (Sekretariatsbetjening af Klagenævnet for Specialundervisning m.v.)"
2012-06-04,"Lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., lov om institutioner for erhvervsrettet uddannelse og lov om specialpædagogisk støtte ved videregående uddannelser"
2012-06-28,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til studentereksamen (stx-bekendtgørelsen) (Gruppeprøve i dramatik og mediefag)"
2012-06-28,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til toårigt hf (hf-bekendtgørelsen) (Gruppeprøve i dramatik)"
2012-06-29,"Bekendtgørelse om standardvedtægt for institutioner for almengymnasiale uddannelser og almen voksenuddannelse"
2012-06-29,"Bekendtgørelse om tilskud m.v. til institutioner for almengymnasiale uddannelser og almen voksenuddannelse (AGV-tilskudsbekendtgørelsen) "
2012-06-29,"Bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (PG-tilskudsbekendtgørelsen) "
2012-07-02,"Bekendtgørelse om folkeskolens afsluttende prøver  (Prøvebekendtgørelsen)"
2012-07-10,"Bekendtgørelse om betaling ved skolegang i en anden kommune end bopælskommunen"
2012-07-12,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens specialundervisning og anden specialpædagogisk bistand"
2012-07-20,"Bekendtgørelse om uddannelserne i den erhvervsfaglige fællesindgang sundhed, omsorg og pædagogik"
2012-08-16,"Bekendtgørelse om ændring af bekendtgørelse om uddannelsen til toårigt hf (hf-bekendtgørelsen) (Gruppeprøve i mediefag)"
2012-09-24,"Bekendtgørelse af lov om private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (hf-kurser)"
2012-10-08,"Bekendtgørelse om vedtægter for friskoler og private grundskoler"
2012-10-25,"Bekendtgørelse om ændring af bekendtgørelse om tilskud m.v. til institutioner for almengymnasiale uddannelser og almen voksenuddannelse (AGV-tilskudsbekendtgørelsen)"
2012-10-25,"Bekendtgørelse om ændring af bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen (PG-tilskudsbekendtgørelsen)"
